Date,Timestamp,Open,High,Low,Close,Volume
20141210,04:00:00,119.821,119.915,119.351,119.473,6435.69001448154
20141210,05:00:00,119.472,119.569,119.198,119.264,5353.96001338959
20141210,06:00:00,119.264,119.357,118.682,118.864,10168.8500095606
20141210,07:00:00,118.862,119.213,118.684,119.08,8744.93002045155
20141210,08:00:00,119.08,119.279,118.921,119.121,7171.47002160549
20141210,09:00:00,119.121,119.28,118.854,119.085,5811.0400185585
20141210,10:00:00,119.083,119.455,119.068,119.138,8234.10002434254
20141210,11:00:00,119.137,119.272,119.042,119.13,6015.79001605511
20141210,12:00:00,119.13,119.381,119.128,119.338,4614.58001565933
20141210,13:00:00,119.337,119.354,119.184,119.335,3890.70000481606
20141210,14:00:00,119.333,119.406,118.966,119.056,5889.76001310349
20141210,15:00:00,119.057,119.114,118.804,118.982,8066.0400210619
20141210,16:00:00,118.982,119.13,118.762,118.792,9171.27001655102
20141210,17:00:00,118.793,118.837,118.28,118.783,12097.4500299692
20141210,18:00:00,118.789,118.796,118.424,118.503,8544.40002548695
20141210,19:00:00,118.503,118.647,118.289,118.494,7294.54001200199
20141210,20:00:00,118.495,118.562,118.13,118.139,4769.97001424432
20141210,21:00:00,118.14,118.37,117.98,118.117,6033.16001439095
20141210,22:00:00,118.114,118.435,117.709,118.012,10430.1000413895
20141210,23:00:00,118.01,118.063,117.776,117.813,2906.70001028478
20141211,00:00:00,117.813,117.982,117.81,117.941,2539.59000551701
20141211,01:00:00,117.941,117.953,117.595,117.602,5188.05999088287
20141211,02:00:00,117.602,117.755,117.439,117.619,11199.5800271034
20141211,03:00:00,117.621,118.333,117.588,118.25,9896.83003234863
20141211,04:00:00,118.248,118.253,117.928,118.098,6708.09001708031
20141211,05:00:00,118.1,118.101,117.851,118.087,4621.60001385212
20141211,06:00:00,118.086,118.197,117.955,118.196,3693.05001223087
20141211,07:00:00,118.199,118.317,118.129,118.233,5033.8000125885
20141211,08:00:00,118.234,118.377,118.009,118.083,5492.19001305103
20141211,09:00:00,118.082,118.194,117.906,117.93,5546.58001112938
20141211,10:00:00,117.931,118.336,117.931,118.269,6236.5700135231
20141211,11:00:00,118.265,118.886,118.129,118.727,7586.70002031326
20141211,12:00:00,118.726,118.819,118.46,118.697,6873.68001270294
20141211,13:00:00,118.699,118.747,118.37,118.389,4926.07001698017
20141211,14:00:00,118.389,118.565,118.252,118.548,5284.23002147675
20141211,15:00:00,118.548,118.806,118.353,118.797,10625.8200298548
20141211,16:00:00,118.796,119.251,118.74,119.13,10492.3900464773
20141211,17:00:00,119.134,119.44,119.134,119.427,9414.24003136158
20141211,18:00:00,119.425,119.485,119.266,119.403,7842.00003254414
20141211,19:00:00,119.402,119.429,119.302,119.357,4001.43001115322
20141211,20:00:00,119.355,119.555,119.272,119.522,3941.33000957966
